region_economy,ano,number,GDP per capita (constant 2010 US$),GDP growth (annual %),"Foreign direct investment, net inflows (% of GDP)",GDP per capita growth (annual %),"Foreign direct investment, net outflows (% of GDP)",Final consumption expenditure (annual % growth),"Gross fixed capital formation, private sector (% of GDP)",index_ef,"Manufacturing, value added (% of GDP)","Inflation, consumer prices (annual %)"
South Africa,2014,44,7582.69692889496,1.84699160365717,1.6504940168635,0.247278816490265,2.1920708450923,1.04368257060194,17.2294900154086,62.5,12.0463086139306,6.13602015113351
South Africa,2015,54,7556.78857882235,1.19373280124428,0.478917398636715,-0.341677246440881,1.73632635495323,1.24772033330896,16.8079628947397,62.6,12.021677657928,4.50920827795706
South Africa,2016,19,7476.62101155809,0.399087929556359,0.747512259560364,-1.06086820384171,1.5152244933236,0.982575647711627,16.1673388299312,61.9,12.0261707799388,6.59460441456991
South Africa,2017,33,7476.38632385801,1.41451262585058,0.588915939706811,-0.00313895407710163,2.13106444135121,1.59226112873915,15.6041188942962,62.3,12.0113357912265,5.18108223263743
South Africa,2018,25,7433.61539826952,0.787055570495099,1.5122534914178,-0.572080196712221,1.09342450263511,1.82996434836961,15.1992891112434,63.0,11.7551676799211,4.50457749331605
China,2000,109,1767.83362700858,8.49150849150864,3.47508224574174,7.6400016553426,0.380733224786637,11.1291889660234,NA,56.4,NA,0.347806256807194
China,2001,76,1901.40762975195,8.33991054985535,3.51300212008009,7.55580167175542,0.723908540503188,6.69503281460429,NA,52.6,NA,0.719132436811498
China,2002,122,2061.16228377566,9.13064594463313,3.60909988460748,8.40191506145082,0.427326486972596,8.44531402867932,NA,52.8,NA,-0.731975500083577
China,2003,137,2253.92968857986,10.0356030262573,3.48740330983945,9.35236426173533,0.509314281525144,5.9473319543709,NA,52.6,NA,1.12760196090496
China,2004,177,2467.13284333364,10.1112234580385,3.4836411137418,9.45917505031488,0.407733343159789,7.48914009398915,NA,52.5,31.9750699703028,3.82463762400933
China,2005,237,2732.16587968884,11.3957759412304,4.55425403392961,10.7425523141704,0.600602412693315,11.0415094433182,NA,53.7,32.0939243287291,1.77641616843146
China,2006,245,3062.53490453063,12.7194790206909,4.50857901572192,12.0918362716474,0.869587666522311,9.54525701667069,NA,53.6,32.4523280566387,1.6494331013998
China,2007,256,3480.15272549424,14.2313880356883,4.40096521655138,13.6363448575165,0.483187187231308,11.8527703405719,NA,52.0,32.3833559601662,4.81676531343752
China,2008,265,3796.63336331896,9.65428937259918,3.7336350391518,9.0938721024024,1.23505630985388,8.01227224348067,NA,53.1,32.1194128890512,5.9252552887092
China,2009,141,4132.90231241877,9.39981317141508,2.56888861303946,8.85702981880388,0.860300773661424,10.0518898638738,NA,53.2,31.5962420559989,-0.728171334173071
China,2010,164,4550.45359583857,10.6361404632299,4.00356247084093,10.103100723313,0.952062312514959,9.04930277063534,NA,51.0,31.6128182912327,3.17532798075574
China,2011,149,4961.23468857388,9.55091409001014,3.7088287540918,9.02725594457161,0.641205566188055,11.3656538582433,NA,52.0,32.064789906632,5.55389705904324
China,2012,117,5325.1601061666,7.8596274932851,2.82709031155136,7.33538000995731,0.761388066314095,8.16014507253371,NA,51.2,31.5285751420402,2.61952616488542
China,2013,138,5710.5878733775,7.76861528412806,3.03987562075228,7.23786251543072,0.762463802714658,6.88583639810774,NA,51.9,30.6710096005958,2.62104902701091
China,2014,192,6096.48781698006,7.29951892117124,2.56834250428071,6.75762201999564,1.17956804544221,6.77331744925178,NA,52.5,30.5046340088878,1.92164341593894
China,2015,144,6484.43594759644,6.90531667019702,2.20133810817813,6.36346930007561,1.58313296143366,7.87735356897994,NA,52.7,29.5076086064448,1.4370245139476
China,2016,124,6883.89542488146,6.73667525262536,1.56895705699954,6.16028102541586,1.94312728018715,8.48318007826212,NA,52.0,28.9556344559798,2.00000000000002
China,2017,112,7308.06536597714,6.75700761091511,1.36767713330467,6.16177200430054,1.13882212864568,7.25136194818394,NA,57.4,29.3029716688661,1.59313725490194
China,2018,100,7752.5595253168,6.56697385961871,1.72958864934452,6.08224115521752,1.05103601213865,9.2801827100556,NA,57.8,29.4143736126299,2.07478890229193
India,2000,86,826.592493112359,3.84099115681285,0.765212648995792,2.02108869495849,0.108782767313431,3.10612387283675,19.1405652256787,47.4,15.927023018209,4.00943591045191
India,2001,73,851.616569294484,4.82396626390644,1.05637830509657,3.02737762448122,0.217149393387037,5.38102007132144,22.8726238624782,49.0,15.3070212831531,3.77929312235636
India,2002,32,869.201387421835,3.80397532137577,1.01157180543964,2.06487505778787,0.244897684760387,2.39895532738252,21.4329468477438,51.2,15.5587017264204,4.29715203929568
India,2003,54,922.167960042853,7.86038147553259,0.605889254716748,6.09370548499972,0.203693878690632,5.45159784663835,21.3283917842883,51.2,15.5873866487019,3.80585899528853
India,2004,72,979.283847700059,7.92293661286503,0.765601404573582,6.19365344839693,0.259051931309042,4.99589300191256,23.5556627511255,51.5,15.8272457405027,3.76725173477511
India,2005,104,1040.31231291865,7.92343062149763,0.886100720125194,6.23194851645125,0.321893491360046,7.6540710019555,25.2188274270561,54.2,15.9730170447011,4.24634362031928
India,2006,141,1106.9264701603,8.06073257303272,2.13016842533494,6.4032845150854,1.49286739751,4.80628859934215,25.5025002660386,52.2,17.3036533311112,5.79652337561632
India,2007,157,1173.87530979278,7.66081506504928,2.07339574616693,6.04817406008833,1.39932735975241,7.5938011295774,27.5280395600256,53.9,16.8645677754413,6.3728813559322
India,2008,144,1192.51173233371,3.08669805953289,3.62052189719656,1.58759813631464,1.60618885689524,5.47634323580559,25.9026395288506,54.1,17.0986741489578,8.34926704907584
India,2009,114,1268.24921034763,7.86188883303498,2.65159312683012,6.35108871136214,1.19947421141301,6.43843742370743,25.3215989559546,54.4,17.1435776668942,10.8823529411765
India,2010,122,1357.56371913262,8.49758470158106,1.63503427378005,7.04234688705345,0.952969273361073,6.46889957249854,25.1992056214181,53.8,17.0299342494918,11.9893899204244
India,2011,134,1410.426304742,5.2413447428854,2.00206502742547,3.89393034480594,0.691587822954213,7.27413811240261,26.9732509977014,54.6,16.1393381271841,8.85836096636663
India,2012,133,1469.17761007839,5.45635895072287,1.31293433730695,4.16549983071508,0.467994117573545,4.66984218011974,26.4173280798844,54.6,15.8169230072072,9.31244560487382
India,2013,142,1544.61924724913,6.38610640094825,1.51627596536499,5.13495690740315,0.0950572398365903,6.23725464045475,24.2014102954407,55.2,15.253022692764,10.9076433121019
