Country,Year,"Manufacturing, value added (% of GDP)","Inflation, consumer prices (annual %)"
Caribbean small states,FALSE,11.1749978570283,1.89252027849556
Caribbean small states,FALSE,11.4116112681022,1.28284288443518
Caribbean small states,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,NA
Central Europe and the Baltics,FALSE,NA,118.527578905985
Central Europe and the Baltics,FALSE,NA,150.615831956876
Central Europe and the Baltics,FALSE,NA,72.8787913866333
Central Europe and the Baltics,FALSE,NA,35.9247053929643
Central Europe and the Baltics,FALSE,19.5903889929765,27.951388563304
Central Europe and the Baltics,FALSE,19.3192821439567,19.7949669196707
Central Europe and the Baltics,FALSE,19.3360609715621,8.88104848465888
Central Europe and the Baltics,FALSE,18.7418616830363,8.20833333333299
Central Europe and the Baltics,FALSE,18.0634879330412,4.01913875598084
Central Europe and the Baltics,FALSE,18.3477027432085,8.91174418658764
Central Europe and the Baltics,FALSE,18.2755296905346,5.74827981651377
Central Europe and the Baltics,FALSE,17.674623049977,3.12714222984604
Central Europe and the Baltics,FALSE,17.9480297259148,2.34864169582755
Central Europe and the Baltics,FALSE,18.5638620916708,3.59297594249513
Central Europe and the Baltics,FALSE,18.3887438751621,3.31717824448043
Central Europe and the Baltics,FALSE,18.5628190633669,3.93032603841
Central Europe and the Baltics,FALSE,18.4285756594584,4.83732928313989
Central Europe and the Baltics,FALSE,17.9672693092004,6.35866380152374
Central Europe and the Baltics,FALSE,17.1792744087085,2.75320223914816
Central Europe and the Baltics,FALSE,17.5778233470061,1.80117022137136
Central Europe and the Baltics,FALSE,18.3100176585989,4.13027562645087
Central Europe and the Baltics,FALSE,17.8583132842321,3.33492267693443
Central Europe and the Baltics,FALSE,17.6199398283682,1.43829787234043
Central Europe and the Baltics,FALSE,18.545312033954,0.0538213132400467
Central Europe and the Baltics,FALSE,18.7719053310438,-0.464499004645002
Central Europe and the Baltics,FALSE,18.9157445045754,-0.0549995416704911
Central Europe and the Baltics,FALSE,18.6649016788798,2.07593553673862
Central Europe and the Baltics,FALSE,18.1651397454223,2.53445424186602
Central Europe and the Baltics,FALSE,NA,2.66456133425443
Early-demographic dividend,FALSE,NA,NA
Early-demographic dividend,FALSE,NA,NA
Early-demographic dividend,FALSE,NA,NA
Early-demographic dividend,FALSE,NA,NA
Early-demographic dividend,FALSE,NA,NA
Early-demographic dividend,FALSE,17.849945112704,NA
Early-demographic dividend,FALSE,17.801789902811,4.74383301707784
Early-demographic dividend,FALSE,17.3476283600883,2.03479126674987
Early-demographic dividend,FALSE,16.6894402607261,2.20658639640324
Early-demographic dividend,FALSE,17.0170952217702,3.08106302156668
Early-demographic dividend,FALSE,17.2382933460275,3.78778175173664
Early-demographic dividend,FALSE,17.611099953784,4.21452365876879
Early-demographic dividend,FALSE,17.5546855772731,6.2366206754019204
Early-demographic dividend,FALSE,17.3977513448158,12.439416996948
Early-demographic dividend,FALSE,17.4687946859467,19.2877754456961
Early-demographic dividend,FALSE,17.505806649825,13.0192131068461
Early-demographic dividend,FALSE,17.7677458715042,10.0695380302795
Early-demographic dividend,FALSE,17.7370658105902,11.989283322105
Early-demographic dividend,FALSE,17.3850735337791,9.04398827010364
Early-demographic dividend,FALSE,17.6567973036546,11.3486005086091
